drug_name,disease_category,drug_category,product_name,clinical_trial_title,clinical_trial_start_date,clinical_trial_completion_date,clinical_trial_participants,country,clinical_trial_institution,side_effect,interacts_with,disease_name,company_name,clinical_trial_status,clinical_trial_condition,clinical_trial_address,clinical_trial_main_researcher
cetuximab,cancer,antineoplastic agents,erbitux,immune response on neoadjuvant therapy in non-small-cell lung cancer (nsclc),2007-01-01 00:00:00,2011-06-01 00:00:00,41.0,austria,medical university of vienna,headache,nan,adenocarcinoma,imclone llc,completed,laryngeal neoplasms,university hospital,wolfgang hilbe
cetuximab,cancer,antineoplastic agents,erbitux,immune response on neoadjuvant therapy in non-small-cell lung cancer (nsclc),2007-01-01 00:00:00,2011-06-01 00:00:00,41.0,austria,medical university of vienna,headache,nan,adenocarcinoma,imclone llc,completed,laryngeal neoplasms, internal medicine,wolfgang hilbe
cetuximab,cancer,antineoplastic agents,erbitux,immune response on neoadjuvant therapy in non-small-cell lung cancer (nsclc),2007-01-01 00:00:00,2011-06-01 00:00:00,41.0,austria,medical university of vienna,headache,nan,adenocarcinoma,imclone llc,completed,mouth neoplasms,university hospital,wolfgang hilbe
cetuximab,cancer,antineoplastic agents,erbitux,immune response on neoadjuvant therapy in non-small-cell lung cancer (nsclc),2007-01-01 00:00:00,2011-06-01 00:00:00,41.0,austria,medical university of vienna,headache,nan,adenocarcinoma,imclone llc,completed,mouth neoplasms, internal medicine,wolfgang hilbe
cetuximab,cancer,antineoplastic agents,erbitux,immune response on neoadjuvant therapy in non-small-cell lung cancer (nsclc),2007-01-01 00:00:00,2011-06-01 00:00:00,41.0,austria,medical university of vienna,cough,nan,adenocarcinoma,imclone llc,completed,laryngeal neoplasms,university hospital,wolfgang hilbe
cetuximab,cancer,antineoplastic agents,erbitux,immune response on neoadjuvant therapy in non-small-cell lung cancer (nsclc),2007-01-01 00:00:00,2011-06-01 00:00:00,41.0,austria,medical university of vienna,cough,nan,adenocarcinoma,imclone llc,completed,laryngeal neoplasms, internal medicine,wolfgang hilbe
cetuximab,cancer,antineoplastic agents,erbitux,immune response on neoadjuvant therapy in non-small-cell lung cancer (nsclc),2007-01-01 00:00:00,2011-06-01 00:00:00,41.0,austria,medical university of vienna,cough,nan,adenocarcinoma,imclone llc,completed,mouth neoplasms,university hospital,wolfgang hilbe
cetuximab,cancer,antineoplastic agents,erbitux,immune response on neoadjuvant therapy in non-small-cell lung cancer (nsclc),2007-01-01 00:00:00,2011-06-01 00:00:00,41.0,austria,medical university of vienna,cough,nan,adenocarcinoma,imclone llc,completed,mouth neoplasms, internal medicine,wolfgang hilbe
cetuximab,cancer,antineoplastic agents,erbitux,immune response on neoadjuvant therapy in non-small-cell lung cancer (nsclc),2007-01-01 00:00:00,2011-06-01 00:00:00,41.0,austria,medical university of vienna,renal failure,nan,adenocarcinoma,imclone llc,completed,laryngeal neoplasms,university hospital,wolfgang hilbe
cetuximab,cancer,antineoplastic agents,erbitux,immune response on neoadjuvant therapy in non-small-cell lung cancer (nsclc),2007-01-01 00:00:00,2011-06-01 00:00:00,41.0,austria,medical university of vienna,renal failure,nan,adenocarcinoma,imclone llc,completed,laryngeal neoplasms, internal medicine,wolfgang hilbe
cetuximab,cancer,antineoplastic agents,erbitux,immune response on neoadjuvant therapy in non-small-cell lung cancer (nsclc),2007-01-01 00:00:00,2011-06-01 00:00:00,41.0,austria,medical university of vienna,renal failure,nan,adenocarcinoma,imclone llc,completed,mouth neoplasms,university hospital,wolfgang hilbe
cetuximab,cancer,antineoplastic agents,erbitux,immune response on neoadjuvant therapy in non-small-cell lung cancer (nsclc),2007-01-01 00:00:00,2011-06-01 00:00:00,41.0,austria,medical university of vienna,renal failure,nan,adenocarcinoma,imclone llc,completed,mouth neoplasms, internal medicine,wolfgang hilbe
cetuximab,cancer,antineoplastic agents,erbitux,immune response on neoadjuvant therapy in non-small-cell lung cancer (nsclc),2007-01-01 00:00:00,2011-06-01 00:00:00,41.0,austria,medical university of vienna,carcinoma,nan,adenocarcinoma,imclone llc,completed,laryngeal neoplasms,university hospital,wolfgang hilbe
cetuximab,cancer,antineoplastic agents,erbitux,immune response on neoadjuvant therapy in non-small-cell lung cancer (nsclc),2007-01-01 00:00:00,2011-06-01 00:00:00,41.0,austria,medical university of vienna,carcinoma,nan,adenocarcinoma,imclone llc,completed,laryngeal neoplasms, internal medicine,wolfgang hilbe
cetuximab,cancer,antineoplastic agents,erbitux,immune response on neoadjuvant therapy in non-small-cell lung cancer (nsclc),2007-01-01 00:00:00,2011-06-01 00:00:00,41.0,austria,medical university of vienna,carcinoma,nan,adenocarcinoma,imclone llc,completed,mouth neoplasms,university hospital,wolfgang hilbe
cetuximab,cancer,antineoplastic agents,erbitux,immune response on neoadjuvant therapy in non-small-cell lung cancer (nsclc),2007-01-01 00:00:00,2011-06-01 00:00:00,41.0,austria,medical university of vienna,carcinoma,nan,adenocarcinoma,imclone llc,completed,mouth neoplasms, internal medicine,wolfgang hilbe
cetuximab,immunological,antineoplastic agents,erbitux,immune response on neoadjuvant therapy in non-small-cell lung cancer (nsclc),2007-01-01 00:00:00,2011-06-01 00:00:00,41.0,austria,medical university of vienna,headache,nan,complementary component deficiency,imclone llc,completed,laryngeal neoplasms,university hospital,wolfgang hilbe
