disease_name,drug_category,product_name,company_name
adenocarcinoma,antineoplastic agents,erbitux,imclone llc
complementary component deficiency,antineoplastic agents,erbitux,imclone llc
"igg receptor i, phagocytic, familial deficiency of",antineoplastic agents,erbitux,imclone llc
lupus erythematosus,antineoplastic agents,erbitux,imclone llc
lymphoma,antineoplastic agents,erbitux,imclone llc
neutropenia,antineoplastic agents,erbitux,imclone llc
nonsmall cell lung cancer,antineoplastic agents,erbitux,imclone llc
viral infection,antineoplastic agents,erbitux,imclone llc
"adenocarcinoma of lung, response to tyrosine kinase inhibitor in, 211980",antineoplastic agents,erbitux,imclone llc
"c1q deficiency, type a",antineoplastic agents,erbitux,imclone llc
"c1q deficiency, type b",antineoplastic agents,erbitux,imclone llc
"c1s deficiency, isolated",antineoplastic agents,erbitux,imclone llc
"lupus nephritis, susceptibility to",antineoplastic agents,erbitux,imclone llc
"lymphoma, progression of",antineoplastic agents,erbitux,imclone llc
"neutropenia, alloimmune neonatal",antineoplastic agents,erbitux,imclone llc
"nonsmall cell lung cancer, response to tyrosine kinase inhibitor in, 211980",antineoplastic agents,erbitux,imclone llc
"viral infections, recurrent",antineoplastic agents,erbitux,imclone llc
"interleukin-2 receptor, alpha chain, deficiency of",antineoplastic agents,ontak,eisai inc.
severe combined immunodeficiency,antineoplastic agents,ontak,eisai inc.
combined immunodeficiency,antineoplastic agents,ontak,eisai inc.
"combined immunodeficiency, x-linked, moderate, 312863",antineoplastic agents,ontak,eisai inc.
"severe combined immunodeficiency, x-linked, 300400",antineoplastic agents,ontak,eisai inc.
asthma,antirheumatic agents,enbrel,immunex corporation
,,,
asthma,immunomodulatory agents,enbrel,immunex corporation
complementary component deficiency,antirheumatic agents,enbrel,immunex corporation
complementary component deficiency,immunomodulatory agents,enbrel,immunex corporation
dementia,antirheumatic agents,enbrel,immunex corporation
dementia,immunomodulatory agents,enbrel,immunex corporation
"igg receptor i, phagocytic, familial deficiency of",antirheumatic agents,enbrel,immunex corporation
"igg receptor i, phagocytic, familial deficiency of",immunomodulatory agents,enbrel,immunex corporation
lupus erythematosus,antirheumatic agents,enbrel,immunex corporation
lupus erythematosus,immunomodulatory agents,enbrel,immunex corporation
